Year,Country,Latitude,Longitude,Admin
2017,ITALY,41.9080635,12.4846706,3
2017,MARTINIQUE,14.65202741,-61.02201523,0
2017,MEXICO,20.1750558,-104.0515625,1
2017,MEXICO,19.70607894,-101.1930775,2
2017,MEXICO,24.24039939,-98.87405113,1
2017,NEPAL,27.67287582,85.42989088,2
2017,NEPAL,27.56338153,84.44008521,2
2017,NEPAL,27.98737797,83.76205717,2
2017,NICARAGUA,12.84729004,-84.96428344,0
2017,PAKISTAN,24.86945614,67.39797588,3
2017,PAKISTAN,24.94045805,67.03776753,3
2017,PAKISTAN,24.87923325,67.10159682,3
2017,PAKISTAN,24.88515591,67.01425427,3
2017,PAKISTAN,24.95072658,66.90815067,3
2017,PAKISTAN,34.11747765,72.68874389,3
2017,PAKISTAN,25.1351473,62.32397965,2
2017,PAKISTAN,24.79502577,67.14365894,3
2017,PAKISTAN,33.70469974,73.04361901,2
2017,PAKISTAN,24.89110651,66.99926805,2
2017,PAKISTAN,24.87556933,66.78384532,3
2017,PAKISTAN,34.01971064,71.53455532,1
2017,PAKISTAN,24.83950431,67.12036145,3
2017,PAKISTAN,24.8786043,67.00987462,3
2017,PAKISTAN,24.89389185,67.21699275,3
2017,PAKISTAN,24.95252528,67.00136406,3
2017,PAKISTAN,25.25697577,63.41345188,2
2017,PAKISTAN,31.18466417,72.88423587,1
2017,PAKISTAN,26.04414522,68.94717142,2
2017,PAKISTAN,34.32470691,72.38848695,3
2017,PAKISTAN,25.04114983,67.06352509,3
2017,PAKISTAN,24.75629116,69.79902472,2
2017,PAKISTAN,25.35584747,69.73774203,2
2017,PANAMA,9.0492476,-79.50446164,2
2017,PARAGUAY,-22.7840013,-58.31847341,0
2017,PERU,-5.043137961,-80.72690734,1
2017,PERU,-3.495108837,-80.27052283,2
2017,PHILIPPINES,6.939369583,124.9032215,3
2017,PUERTO RICO,18.20710488,-66.52228471,0
2017,ST MARTIN,18.0712484,-63.04653098,0
2017,TAIWAN,23.0021771,120.2007102,2
2017,USA,25.76518025,-80.23529191,2
2018,BRAZIL,-4.692413248,-39.60264623,2
2018,BRAZIL,-2.44112863,-54.71267615,3
2018,BRAZIL,-15.64997365,-56.13838568,3
2018,ECUADOR,-1.199909443,-78.38125912,0
2018,INDIA,18.53535865,73.8499203,2
2018,ITALY,41.92604919,12.6799975,2
2018,KENYA,-4.020819591,39.62657781,3
2018,KENYA,-3.508827465,39.91242835,2
2018,KENYA,-4.024093337,39.68557849,3
2018,KENYA,-2.213700168,40.88913581,2
2018,KENYA,-4.084079471,39.65921869,3
2018,KENYA,-4.042596624,39.66440732,1
2018,KENYA,-4.053052639,39.66524188,3
2018,KENYA,-4.051013548,39.69781719,3
2018,MEXICO,18.68643955,-99.11806278,1
2018,PAKISTAN,24.89110651,66.99926805,2
2018,PARAGUAY,-23.27423489,-58.97556816,0
2018,PERU,-5.043137961,-80.72690734,0
2019,BRAZIL,-22.84454647,-43.32332613,-999
2019,BRAZIL,-22.87251259,-43.33662687,-999
2019,BRAZIL,-22.82104664,-43.39761054,-999
2019,BRAZIL,-22.81250793,-43.36285222,-999
2019,BRAZIL,-22.51149436,-43.18536245,1
2019,BRAZIL,-17.75216789,-44.71617437,1
2020,BRAZIL,-8.344484821,-38.13412586,1
2019,COLOMBIA,0.472514703,-75.85791695,1
2019,COLOMBIA,5.026996809,-74.03882586,1
2019,COLOMBIA,6.656998067,-73.67487346,1
2019,COLOMBIA,4.099023999,-75.17171829,1
2019,COLOMBIA,3.805481032,-76.64815593,1
2019,COLOMBIA,6.249073705,-75.59095954,1
2019,ETHIOPIA,9.601823131,41.85134637,2
